Serial No,Flashcard ID,Year,Intervention ,Highlight,Participant Type,Participants (n),Intervention Duration,Proven Benefits Statement,Study Design,Follow-up Timepoints,Citation Short,Link to Published Study,Annotated PDF (Internal Use ONLY),Journal,Study Population,Subtopic,Journal Reputation,Corresponding Author Affiliation,Geography (Country),Source Documents,Validation,Rating
26,GEETHA_2014_01,2014,SKY,Improves antioxidant defence and reduces oxidative stress in menopausal women,Menopausal Women,190,30 days,↑ 212% increased superoxide dismutase (SOD)|↑ 112% improved plasma glutathione peroxidase (GPx)|↓ 66% reduced malondialdehyde (MDA),Non-Randomised Controlled Trial,,"Geetha et al., 2014",https://www.alliedacademies.org/articles/quality-of-life-after-menopause-effects-of-hormone-replacement-therapyvitamin-e-and-sudarhana-kriya-yoga-practice-a-comparative-study.pdf,Geetha-2014-Quality of life after menopause_ E.pdf,Biomedical Research,General Population,"PH: Biomarkers, SH: Women",Acceptable,"Dhanalakshmi Srinivasan Medical College and Hospital, Perambalur, Tamil-
nadu, India",India,"Fact-Check Master Doc, FC-Worksheet.",Reviewed,
27,GERBARG_2005_01,2005,SKY,"Improves sleep, energy, and trauma recovery in disaster survivors",Hurricane Katrina Survivors,,,Improved sleep and energy levels|Reduced feelings of tension and aggression|Fewer flashbacks and trauma symptoms,Qualitative Study,,"Gerbarg and Brown, 2005",https://www.researchgate.net/publication/288024346_Yoga_A_breath_of_relief_for_Hurricane_Katrina_refugees,Gerbarg-2005-Yoga_ A breath of relief for Hurr.pdf,Current Psychiatry Online,At-risk Communities,"SH: At-risk Communities, MH: Stress",Acceptable,"New York Medical College, Valhalla, NY",USA,Fact-Check Master Doc,Reviewed,
28,GHAHREMANI_2013_01,2013,SKY,Improves self-control and planning in high school students,High School Students,445,4 weeks,Reduced impulsive behaviour in daily life|Improved planning and reduced acting without thinking,Two-Arm Pre-Post Study,,"Ghahremani et al., 2013",https://pubmed.ncbi.nlm.nih.gov/23601502/,Ghahremani-2013-Effects of the Youth Empowerme.pdf,Journal of Adolescent Health,Youth & Students,"SH: Youth & Students, MH: Cognition",Acceptable,"University of California, Los Angeles (UCLA)",USA,"Fact-Check Master Doc, TC Explorer",Reviewed,⭐⭐⭐⭐⭐
29,GHOLAM_2021_01,2021,SKY,Supports cognitive function and brain processing efficiency with age,Healthy Adults (40–65 yrs),60,Long-Term SKY Practice,2.3x higher P300 amplitudes in long-term practitioners|↓ 7.7% shorter P300 latency indicating faster cognitive processing|Supports preservation of cognitive function with age,Cross-Sectional Study,,"Gholam et al., 2021",https://www.ncbi.nlm.nih.gov/pubmed/33944527,Gholam-2021-Effect of Sudarsankriya yoga pract.pdf,International Tinnitus Journal,General Population,"PH: Brain, MH: Cognition",Acceptable,"Kasturba Medical College, MAHE, Mangalore, Karnataka,",India,"Fact-Check Master Doc, Year in Review",Reviewed,
30,GOLDSTEIN_2016_01,2016,SKY,Improves heart recovery and stress regulation in young adults,Young Adults,11,4 weeks,↑ 48% increased heart rate recovery|Increased vagal tone|Increased autonomic regulation after stress,Single-Arm Pre-Post Study,,"Goldstein et al., 2016",https://journals.lww.com/ijoy/fulltext/2016/09010/Improvements_in_well_being_and_vagal_tone.4.aspx,Goldstein-2016-Improvements in well-being and.pdf,International Journal of Yoga,Youth & Students,"PH: Heart, PH: Vagus Nerve, SH: Youth & Students",Acceptable,University of Arizona,USA,"Fact-Check Master Doc, TC Explorer, FC-Worksheet",Reviewed,⭐⭐⭐⭐⭐
31,GOLDSTEIN_2020_01,2020,SKY,Reduces stress and improves wellbeing in college students,College Students,69,3 months,↓ 22% reduced perceived stress|Trend-level decrease in sleep disturbances|↑ Improved social connectedness|↑ Increased self-esteem,Randomised Controlled Trial,3 months,"Goldstein et al., 2020",https://www.tandfonline.com/doi/abs/10.1080/07448481.2020.1781867,Goldstein-2020-Improvements in well-being and.pdf,Journal of American College Health,Youth & Students,"MH: Stress, MH: Sleep, MH: Happiness, SH: Youth & Students",Acceptable,"Harvard Medical School, Boston, MA USA",USA,"Fact-Check Master Doc, TC Explorer",Reviewed,
32,GUPTA_2022_01,2022,SKY,Reduces altitude sickness symptoms and improves wellbeing in healthy participants,Healthy Participants,29,4 days,↓ 71% reduction in Acute Mountain Sickness (AMS) symptoms|Improved mental well-being and lipid profile|Trend toward lower anxiety,Single-Arm Pre-Post Study,,"Gupta et al., 2022",https://pubmed.ncbi.nlm.nih.gov/36743761/,Gupta-2022-Physical and mental health at high.pdf,Journal of Neurosciences in Rural Practice,General Population,"PH: Breath / Lungs, MH: Stress, MH: Happiness, PH: Biomarkers, MH: Anxiety",Acceptable,SSIAR,India,"Fact-Check Master Doc, TC Explorer",Reviewed,
33,HAMILTON-WEST_2019_01,2019,SKY,Reduces anxiety and depression symptoms in UK public healthcare patients,NHS Patients,169,4 weeks,↓ 46% reduced anxiety symptoms|↓ 45% reduced depression symptoms,Observational Study,,"Hamilton-West et al., 2019",https://pubmed.ncbi.nlm.nih.gov/32799993/,Hamilton-West-2019-Evaluation of a Sudarshan K.pdf,Primary Health Care Research & Development,Patients,"MH: Anxiety, MH: Depression",Acceptable,University of Kent,UK,"Fact-Check Master Doc, TC Explorer",Reviewed,
34,JADHAV_2016_01,2016,SKY,Improves reaction speed and responsiveness in medical students,Medical Students,60,3 months,↑ 17% improvement in visual reaction time (VRT)|↑ 19% improvement in auditory reaction time (ART),Single-Arm Pre-Post Study,,"Jadhav et al., 2016",https://njmr.in/index.php/file/article/view/240,Jadhav-2016-Effect of Sudarshan Kriya Yoga on.pdf,National Journal of Medical Research,Youth & Students,"SH: Youth & Students, MH: Cognition",Acceptable,GMC Latur Maharashtra,India,Fact-Check Master Doc,Reviewed,
35,JANAKIRAMAIAH_1998_01,1998,SKY,Reduces depression and anxiety symptoms in patients with chronic depression,Patients with Chronic Depression,37,3 month,↓ 68% remission rate|↓ 69% reduced depression symptoms|↓ 64% reduced anxiety,Single-Arm Pre-Post Study,,"Janakiramaiah et al., 1998",https://psycnet.apa.org/record/2001-00489-003,Janakiramaiah-1998-Therapeutic efficacy of Sud.pdf,NIMHANS Journal,Patients,MH: Depression,Acceptable,"NIMHANS, Bengaluru",India,"Fact-Check Master Doc, TC Explorer",Reviewed,
36,JANAKIRAMAIAH_2000_01,2000,SKY,Reduces melancholic depression in inpatients as a non-drug approach,Inpatients with Melancholic Depression,45,4 weeks,"SKY offers a holistic, non-pharmacological alternative to traditional antidepressants in reducing melancholic depression",Randomised Controlled Trial,,"Janakiramaiah et al., 2000",https://pubmed.ncbi.nlm.nih.gov/10708840/,Janakiramaiah-2000-Antidepressant efficacy of.pdf,Journal of Affective Disorders,Patients,MH: Depression,Acceptable,"NIMHANS, Bengaluru",India,"Fact-Check Master Doc, TC Explorer",Reviewed,
37,JAYASHREE_2025_01,2025,SKY,Reduces stress and improves quality of life in transgender adults,Transgender Adults,60,6 weeks,"↓ 30% lower perceived stress after SKY|Improved quality of life across physical, social, and environmental domains",Two-Arm Pre-Post Study,,"Jayashree and Kalavathy, 2025",https://tamilmanam.in/journal/index.php/issue/article/view/116/101,Jayashree-2025-Exploring Holistic Wellness amo.pdf,Tamilmanam International Journal of Tamil Studies,At-risk Communities,"SH: At-risk Communities, MH: Stress",Acceptable,"Bharathiyar University, Tamil Nadu, India",India,Year in Review,Reviewed,
38,JYOTSNA_2012_01,2012,SKY,Improves quality of life in patients with type 2 diabetes,T2D Patients,49,3 months,↑ 9% improved quality of life,Randomised Controlled Trial,,"Jyotsna et al., 2012",https://journals.lww.com/indjem/fulltext/2012/16030/comprehensive_yogic_breathing_program_improves.20.aspx,Jyotsna-2012-Comprehensive yogic breathing pro.pdf,Indian Journal of Endocrinology and Metabolism,Patients,"PH: Diabetes, MH: Happiness",Acceptable,"AIIMS, New Delhi",India,"Fact-Check Master Doc, TC Explorer, FC-Worksheet",Reviewed,
39,JYOTSNA_2013_01,2013,SKY,Improves heart function and autonomic balance in diabetic patients,Diabetic Patients,64,6 months,Improved cardiac autonomic function|Decreased incidences of autonomic abnormalities,Randomised Controlled Trial,,"Jyotsna et al., 2013",https://pubmed.ncbi.nlm.nih.gov/23869306/,Jyotsna-2013-Cardiac autonomic function in pat.pdf,Indian Journal of Endocrinology and Metabolism,Patients,"PH: Heart, PH: Diabetes",Acceptable,"AIIMS, New Delhi",India,"Fact-Check Master Doc, TC Explorer",Reviewed,
40,JYOTSNA_2014_01,2014,SKY,Improves blood sugar control and quality of life in type 2 diabetes patients,T2D Patients,120,6 months,Improved quality of life scores|Decreased postprandial glucose|Enhanced sympathetic cardiac autonomic regulation,Randomised Controlled Trial,,"Jyotsna et al., 2014",https://pubmed.ncbi.nlm.nih.gov/25143922/,Jyotsna-2014-Completion report_ Effect of Comp.pdf,Indian Journal of Endocrinology and Metabolism,Patients,"PH: Diabetes, PH: Heart",Acceptable,"AIIMS, New Delhi",India,"Fact-Check Master Doc, TC Explorer, FC-Worksheet",Reviewed,
41,KALE_2016_01,2016,SKY,Improves lung capacity and breathing efficiency in long-term male practitioners,Healthy Males,43,1+ years,↑ 18-19% increased Forced Vital Capacity (FVC)|↑ 20-22% increased Forced Expiratory Volume (FEV1)|↑ 21-22% increased Peak Expiratory Flow Rate (PEFR) and Breath-holding time (BHT),Cross-Sectional Study,,"Kale et al., 2016",https://www.bibliomed.org/?mno=219622,Kale-2016-The effect of Sudarshan Kriya Yoga (.pdf,International Journal of Medical Science and Public Health,Practitioners / Meditators,"PH: Breath / Lungs, PH: Heart, MH: Stress",Acceptable,"Lokmanya Tilak Municipal Medical College, Mumbai",India,"Fact-Check Master Doc, TC Explorer",Reviewed,
56,KANCHIBHOTLA_2018_01,2018,SKY,,Rural Youth,992,8 days,Reduced perceived stress|Increased mental well-being and resilience|Increased confidence and empowerment,Observational Study,,"Kanchibhotla et al., 2018",http://www.ssiar.org/latestpublicationpdf/12.pdf,Kanchibhotla-2018-Yoga based Leadership Progra.pdf,Journal of Emerging Technologies and Innovative Research (JETIR),Youth & Students,"SH: Youth & Students, MH: Happiness",Predatory,SSIAR,India,Fact-Check Master Doc,Reviewed,
42,KANCHIBHOTLA_2020_01,2020,SKY,Reduces aggression and anger while improving life satisfaction in former militants,Former Militants,219,40 days,Reduced physical and verbal aggression|Reduced anger and hostility|Improved life satisfaction,Single-Arm Pre-Post Study,,"Kanchibhotla et al., 2020",https://journals.lww.com/ijoy/fulltext/2020/13010/effectiveness_of_a_comprehensive_yoga_program_on.8.aspx#,Kanchibhotla-2020-Effectiveness of a comprehen.pdf,International Journal of Yoga,At-risk Communities,SH: At-risk Communities,Acceptable,SSIAR,India,Fact-Check Master Doc,Reviewed,
43,KANCHIBHOTLA_2021a_01,2021,SKY,Reduces stress and improves emotional stability in teenagers,Teenagers,455,1+ years,↓ 10% lowered perceived stress|↑ Improved peer relationships and emotional stability,Cross-Sectional Study,,"Kanchibhotla et al., 2021",https://pubmed.ncbi.nlm.nih.gov/33588582/,Kanchibhotla-2021-LessStressBetterBonds.pdf,Clinical Child Psychology and Psychiatry,Youth & Students,"MH: Stress, SH: Youth & Students",Acceptable,SSIAR,India,"Fact-Check Master Doc, TC Explorer",Reviewed,
44,KANCHIBHOTLA_2021b_01,2021,SKY,"Reduces stress, anxiety, and depression while improving resilience in healthcare professionals",Healthcare Professionals,92,4 days,↓ 37% reduced stress|↓ 27% reduced anxiety|↓ 47% reduced depression|↑ 27% improved resilience (day 40)|↑ Improved sleep quality,Single-Arm Pre-Post Study,40 days,"Kanchibhotla et al., 2021",https://pubmed.ncbi.nlm.nih.gov/33623726/,Kanchibhotla-2021-Impact of a Yogic Breathing.pdf,Glob Adv Health Med,Professionals,"MH: Stress, MH: Anxiety, MH: Depression, MH: Sleep, MH: Happiness",Acceptable,SSIAR,India,"Fact-Check Master Doc, TC Explorer",Reviewed,
45,KANCHIBHOTLA_2021c_01,2021,SKY,Restores healthy salivary pH balance in healthy adults,Healthy Adults,321,Single SKY Session,Significant shift of salivary pH towards neutral in participants with acidic or alkaline baseline|pH remained stable in those with neutral levels,Single-Arm Pre-Post Study,,"Kanchibhotla et al., 2021",https://pubmed.ncbi.nlm.nih.gov/33735857/,Kanchibhotla-2021-ImpactSKY-SalivarypH.pdf,Complement Med Res,Professionals,"PH: Biomarkers, MH: Stress",Acceptable,SSIAR,India,"Fact-Check Master Doc, TC Explorer",Reviewed,
46,KANCHIBHOTLA_2021d_01,2021,SKY,"Improves sleep quality in adults, especially younger individuals",Indian Adults,473,3 days,"↑ 25% reported improved sleep quality, with younger adults benefiting the most",Single-Arm Pre-Post Study,,"Kanchibhotla et al., 2021",https://link.springer.com/article/10.1007/s41782-021-00146-4,Kanchibhotla-2021-SKY_on_Sleep_Quality.pdf,Sleep and Vigilance,General Population,MH: Sleep,Acceptable,SSIAR,India,Fact-Check Master Doc,Reviewed,
47,KANCHIBHOTLA_2021e_01,2021,SKY,Reduces stress and improves focus and wellbeing in children,Children (8-13 years),420,4 days,↓ 56% reduced incidence of stress|↑ 27% higher cognitive abilities (focus and clarity)|↑ 15% increased mental well-being,Pilot Study,,"Kanchibhotla and Subramanian, 2021",https://www.researchgate.net/publication/358779996_Improvement_in_Children%27s_Mental_Health_and_Cognitive_Abilities_with_Yogic_Breathing_A_Pilot_Study,Kanchibhotla-2021-Improvement in Children’s Me.pdf,Indian Journal of Youth and Adolescent Health,Youth & Students,"SH: Youth & Students, MH: Stress",Acceptable,SSIAR,India,Fact-Check Master Doc,Reviewed,
48,KANCHIBHOTLA_2022_01,2022,SKY,Reduces burnout and improves emotional wellbeing in healthcare professionals,Healthcare Professionals,56,4 days,↓ 34% reduced work exhaustion|↑ 10% increased professional fulfilment|↓ 23% decreased negative emotions|↑ 13% increased positive emotions,Observational Study,30 days," Kanchibhotla et al., 2022",https://pubmed.ncbi.nlm.nih.gov/35910997/,Kanchibhotla-2022-Alleviating Work Exhaustion.pdf,Frontiers in Psychology,Professionals,"MH: Stress, MH: Happiness",Acceptable,SSIAR,India,"Fact-Check Master Doc, TC Explorer",Reviewed,
64,KANCHIBHOTLA_2023a_01,2023,SKY,,Adolescents,455,1+ years,Improved working memory and verbal learning|Enhanced visual-motor coordination,Cross-Sectional Study,,"Kanchibhotla et al., 2023",https://journalppw.com/index.php/jpsp/article/view/16145,Divya-2023-Association Of Sudarshan Kriya Yoga.pdf,Journal of Positive School Psychology,Youth & Students,"SH: Youth & Students, MH: Cognition",Predatory,SSIAR,India,"Fact-Check Master Doc, TC Explorer",Reviewed,
49,KATZMAN_2012_01,2012,SKY,Greatly reduces anxiety symptoms in patients with generalized anxiety disorder,Patients with Generalized Anxiety Disorder (GAD),31,4 weeks,73% of participants experienced ≥ 50% reduction in anxiety|41% remission rate for Generalised Anxiety Disorder (GAD),Single-Arm Pre-Post Study,,"Katzman et al., 2012",https://pubmed.ncbi.nlm.nih.gov/35910997/,"Katzman-2012-A multicomponent yoga-based, brea.pdf",International Journal of Yoga,Patients,MH: Anxiety,Acceptable,START Clinic for Mood and Anxiety,Canada,"Fact-Check Master Doc, TC Explorer",Reviewed,
50,KHADKA_2024_01,2024,SKY,Reduces stress and improves self-esteem in medical doctors,Medical Doctors,58,40 days,↓ 14% reduced stress|↑ Improved self-esteem,Single-Arm Pre-Post Study,,"Khadka et al., 2024",https://pubmed.ncbi.nlm.nih.gov/39118691/,Khadka-2024-Effects of Sudarshan Kriya Yoga (S.pdf,Ann Med Surg (Lond),Professionals,"MH: Stress, MH: Happiness",Acceptable,"Nepalese Army Institute of Health Sciences, Kathmandu",Nepal,Fact-Check Master Doc,Reviewed,
51,KHARYA_2014_01,2014,SKY,"Improves heart rate regulation, especially in those with poorer baseline control",Healthy Adults,50,150 days,Improved heart rate regulation|Better sympathovagal balance|Benefits were most pronounced in those with initially weaker heart rate control,Randomised Controlled Trial,,"Kharya et al., 2014",https://pubmed.ncbi.nlm.nih.gov/25906603/,Kharya-2014-Effect of controlled breathing exe.pdf,Indian Journal of Physiology and Pharmacology,General Population,"PH: Vagus Nerve, PH: Heart",Acceptable,"AIIMS, New Delhi",India,"Fact-Check Master Doc, TC Explorer, FC-Worksheet",Reviewed,
52,KJELLGREN_2007_01,2007,SKY,"Reduces stress, anxiety, and depression in healthy adults",Healthy Adults,103,6 weeks,↓ 18% reduced stress|↓ 34% reduced depression|↓ 23% reduced anxiety,Non-Randomised Controlled Trial,,"Kjellgren et al., 2007",https://pubmed.ncbi.nlm.nih.gov/18093307/,Kjellgren-2007-Wellness through a comprehensiv.pdf,BMC Complement Altern Med,General Population,"MH: Stress, MH: Depression, MH: Anxiety",Acceptable,Karlstad University,Sweden,Fact-Check Master Doc,Reviewed,
53,KOCHUPILLAI_2005_01,2005,SKY,Boosts immunity in cancer patients and supports tobacco cessation,Cancer Patients and Tobacco Users,27,6 months,Increased natural killer (NK) cell counts in cancer patients|↓ 21% of tobacco users reported complete cessation,Non-Randomised Controlled Trial,,"Kochupillai et al., 2005",https://pubmed.ncbi.nlm.nih.gov/16387692/,Kochupillai-2005-Effect of rhythmic breathing.pdf,Annals of the New York Academy of Sciences,Patients,"PH: Cancer, SH: At-risk Communities",Acceptable,"All India Institute of Medical Sciences, New Delhi, India",India,"Fact-Check Master Doc, TC Explorer, FC-Worksheet.",Reviewed,
54,KOPANSKA_2022_01,2022,SKY,Improves relaxation and supports brain recovery in post-COVID individuals,Individuals Post-COVID Recovery,15,3 sessions,Increased Alpha wave amplitudes|Improved relaxation and mental calmness|Suggests support for neural recovery and cognitive restoration,Single-Arm Pre-Post Study,,"Kopanska et al., 2022",https://pubmed.ncbi.nlm.nih.gov/36277052/,Kopanska-2022-Quantitative electroencephalogra.pdf,Frontiers in Human Neuroscience,General Population,PH: Brain,Acceptable,University of Rzeszow,Poland,"Fact-Check Master Doc, TC Explorer",Reviewed,
55,KORKMAZ_2024_01,2024,SKY,"Reduces stress, anxiety, depression, and insomnia in physicians while improving fulfilment",Physicians,129,8 weeks,↓ 41% reduced stress scores|↓ 52% reduced depression scores|↓ 53% reduced anxiety scores|↓ 20% reduced insomnia scores|↑ 25% increased professional fulfilment,Randomised Controlled Trial,,"Korkmaz et al., 2024",https://pubmed.ncbi.nlm.nih.gov/38294813/,Korkmaz-2024-Sudarshan Kriya Yoga Breathing an.pdf,JAMA Network Open,Professionals,"MH: Stress, MH: Depression, MH: Anxiety, MH: Sleep, MH: Happiness",Acceptable,Dokuz Eylül University,Norway,"Fact-Check Master Doc, TC Explorer",Reviewed,
56,KUMAR_2013_01,2013,SKY,Reduces stress and pain in breast cancer patients,Breast Cancer Patients,147,3 months,↓ 19% reduced cortisol|↓ 2-3 point reduction in pain perception,Randomised Controlled Trial,,"Kumar et al., 2013",https://pubmed.ncbi.nlm.nih.gov/24347909/,Kumar-2013-Randomized Controlled Trial in Adva.pdf,Indian J Palliat Care,Patients,"PH: Biomarkers, PH: Cancer, MH: Stress, SH: Women",Acceptable,"ICMR, New Delhi",India,"Fact-Check Master Doc, TC Explorer",Reviewed,
73,KUMAR_2017_01,2017,SKY,,College Students,102,6 months,↓ 40% drop in cortisol in medical students during exams,Quasi-Experimental Study,,"Kumar et al., 2017",https://www.allresearchjournal.com/archives/?year=2017&vol=3&issue=7&part=H&ArticleId=4094,Kumar-2017-Effect of “Sudarshan Kriya” on seru.pdf,International Journal of Applied Research,Youth & Students,"PH: Biomarkers, MH: Stress, SH: Youth & Students",Mixed Reputation,"M.L.N. Medical College, Allahabad",India,"Fact-Check Master Doc, FC-Worksheet.",Reviewed,
57,LIN_2023_01,2023,SKY,Reduces breathlessness and anxiety while improving quality of life in COPD patients,Patients with COPD,9,10 weeks,"↓ Reduced dyspnea, anxiety, and distress related to COPD|Improved overall quality of life",Single-Case Study,,"Lin et al., 2023",https://www.lidsen.com/journals/icm/icm-08-04-059,Lin-2023-Breathing-Based Meditation for Improv.pdf,OBM Integrative and Complementary Medicine,Patients,"PH: Breath / Lungs, MH: Anxiety",Acceptable,"California State University, Fresno, CA, USA",USA,"Fact-Check Master Doc, TC Explorer",Reviewed,
58,LIU_2025_01,2025,SKY,Improves stress coping and overall wellbeing in trainee counsellors,Trainee Counsellors,42,1 month,↑ 9% boost in overall wellness in 3 days|Improved problem-solving abilities|Enhanced stress coping skills|Boosted self-esteem and meaning,Randomised Controlled Trial,,"Liu et al., 2025",https://onlinelibrary.wiley.com/doi/10.1002/ceas.70007,Liu-2025-Effect of Virtual Breathwork Program.pdf,Counselor Education and Supervision,Youth & Students,"MH: Stress, MH: Happiness, MH: Cognition",Acceptable,"California State University, Fresno",USA,"Year in Review, TC Explorer",Reviewed,
59,MATHERSUL_2022_01,2022,SKY,Improves stress regulation and nervous system balance in veterans with PTSD,Veterans with PTSD,59,6 weeks,Improved autonomic regulation|Increased vagal tone,Randomised Controlled Trial,,"Mathersul et al., 2022",https://pubmed.ncbi.nlm.nih.gov/35428258/,Mathersul-2022-Emotion dysregulation and heart.pdf,BMC Psychiatry,At-risk Communities,"PH: Vagus Nerve, SH: At-risk Communities",Acceptable,Stanford University,USA,"Fact-Check Master Doc, TC Explorer, FC-Worksheet",Reviewed,
60,MATHERSUL_2023_01,2023,SKY,Improves sleep and reduces nightmares in veterans with PTSD,Veterans with PTSD,59,6 weeks,Decreased insomnia|Fewer nightmares|Improved ability to fall and stay asleep,Randomised Controlled Trial,,"Mathersul et al., 2023",https://onlinelibrary.wiley.com/doi/10.1155/2023/7001667,Mathersul-2023-US Veterans Show Improvements i.pdf,Depression and Anxiety,At-risk Communities,"MH: Sleep, SH: At-risk Communities",Acceptable,"Murdoch University, Murdoch, WA 6150, Australia",Australia,"Fact-Check Master Doc, TC Explorer",Reviewed,
61,MATHERSUL_2023_01,2023,SKY,Improves sleep quality and reduces nightmares in veterans with PTSD,Veterans with PTSD,59,6 weeks,Improved sleep quality|Fewer problems falling or staying asleep|Fewer nightmares,Randomised Controlled Trial,,"Mathersul et al., 2023",https://onlinelibrary.wiley.com/doi/10.1155/2023/7001667,Mathersul-2023-US Veterans Show Improvements i.pdf,Depression and Anxiety,At-risk Communities,"SH: At-risk Communities, MH: Sleep",Acceptable,"Discipline of Psychology, Murdoch University, Building 440, 90 South
Street, Murdoch, WA 6150, Australia",Australia,Fact-Check Master Doc,Reviewed,⭐⭐⭐⭐⭐
62,MONY_2024_01,2024,SKY,Supports healthy ageing at the cellular level in healthy adults,Healthy Adults,16,4 days,↑ 23% increased relative telomere length|Enhanced resistance to cellular ageing through gene activity changes,Pilot Study,,"Mony et al., 2024",https://pubmed.ncbi.nlm.nih.gov/39715566/,Mony-2024-Sudarshan Kriya Yoga Promotes Telome.pdf,Alternative therapies in health and medicine,General Population,PH: Genes,Acceptable,SSIAR,India,"Fact-Check Master Doc, Year in Review",Reviewed,
63,MONY_2025_01,2025,SKY,Triggers rapid and evolving gene expression changes linked to brain and immune health in healthy adults,Healthy Adults,16,30 days,175 genes differently expressed immediately after SKY (linked to neuronal regeneration and reduced inflammation)|44 genes differently expressed after 30 days (linked to cytoskeletal reorganisation),Pilot Study,,"Mony et al., 2025",https://www.cureus.com/articles/379674-a-comprehensive-yogic-breathing-program-evidence-for-use-in-medicine?medium=email&src=email_share&utm_campaign=share&utm_medium=email&utm_source=email_share_mailer#!/,Mony-2025-Transcriptome profiling after Sudars.pdf,"Brain, Behavior and Immunity Integrative",General Population,PH: Genes,Acceptable,SSIAR,India,"Year in Review, TC Explorer",Reviewed,⭐⭐⭐⭐⭐
64,MULLA_2014_01,2014,SKY,Reduces stress and stress hormone levels in executives,Executives,72,3 months,↓ 23% decreased cortisol|↓ 44% lowered stress,Randomised Controlled Trial,,"Mulla and Vedamuthachar, 2014",https://journals.sagepub.com/doi/abs/10.1177/0258042X15578024?journalCode=mlsa,Mulla-2014-Impact of a Sudarshan Kriya-based O.pdf,Management and Labour Studies,Professionals,"PH: Biomarkers, MH: Stress",Acceptable,Tata Institute of Social Sciences,India,"Fact-Check Master Doc, TC Explorer",Reviewed,
65,MURTHY_1997_01,1997,SKY,Greatly reduces depression severity and improves brain function in dysthymic patients,Dysthymic Patients,30,3 month,↓ 70% reduced depression severity scores|Normalisation of P300 amplitude reflecting improved brain function,Quasi-Experimental Study,,"Murthy et al., 1997",https://pubmed.ncbi.nlm.nih.gov/9325569/,Murthy-1997-Normalization of P300 amplitude f1.pdf,Biological Psychiatry,Patients,"MH: Depression, PH: Brain",Acceptable,"NIMHANS, Bengaluru",India,"Fact-Check Master Doc, TC Explorer",Reviewed,
