Serial No,Flashcard ID,Year,Intervention ,Highlight,Participant Type,Participants (n),Intervention Duration,Proven Benefits Statement,Study Design,Follow-up Timepoints,Citation Short,Link to Published Study,Annotated PDF (Internal Use ONLY),Journal,Study Population,Subtopic,Journal Reputation,Corresponding Author Affiliation,Geography (Country),Source Documents,Validation,Rating
66,MURTHY_1998_01,1998,SKY,Greatly reduces depression and improves wellbeing in patients with dysthymia and melancholia,Patients with Dysthymia and Melancholia,30,1 month,↓ 78% reduced depression severity scores in 73% of patients|Significant improvements in both dysthymia and melancholia|Improved mood and overall wellbeing,Single-Arm Pre-Post Study,,"Murthy et al., 1998",https://pubmed.ncbi.nlm.nih.gov/9716279/,Murthy-1998-P300 amplitude and antidepressant.pdf,Journal of Affective Disorders,Patients,"MH: Depression, PH: Brain",Acceptable,"NIMHANS, Bengaluru",India,"Fact-Check Master Doc, TC Explorer",Reviewed,
84,NARNOLIA_2014_01,2014,SKY,,Hypertensive Patients,100,3 months,↓ 5% reduced systolic BP|↓ 6% reduced diastolic BP|↓ 13% reduced cholesterol|↓ 7% reduced BMI|↓ 90% reduced anxiety,Randomised Controlled Trial,,"Narnolia et al., 2014",https://www.saspublishers.com/article/7351/download/,Narnolia-2014-Effect of Sudarshan Kriya Yoga o.pdf,Scholars Journal of Applied Medical Sciences,Patients,"PH: Heart, PH: Biomarkers, MH: Anxiety",Predatory,"Sardar Patel Medical College and Hospitals, Bikaner, Rajasthan-334003,",India,"Fact-Check Master Doc, TC Explorer, FC-Worksheet",Reviewed,
67,NEWMAN_2020_01,2020,SKY,"Improves focus, self-esteem, and emotional control in school students",Public School Students,59,5 days,↓ 19% reduction in distractibility|↑ 8% increase in self-esteem|Improved ability to cope with anger,Single-Arm Pre-Post Study,,"Newman et al., 2020",https://pubmed.ncbi.nlm.nih.gov/38605512/,Newman-2020-Gender and Ethnicity_ Are they Ass.pdf,International Journal of Yoga,Youth & Students,"SH: Youth & Students, MH: Stress",Acceptable,IAHV,USA,"Fact-Check Master Doc, TC Explorer",Reviewed,
68,NEWMAN_2024_01,2024,SKY,"Improves focus, self-identity, and reduces aggression in eighth-grade students",Eighth Graders,79,3 months,↑ 11% increased planning and concentration|↑ 9% increased sense of identity|↓ 8% reduced belief in aggression,Randomised Controlled Trial,,"Newman et al., 2024",https://pubmed.ncbi.nlm.nih.gov/38605512/,Newman-2024-Breathing life into social emotion.pdf,Journal of Adolescence,Youth & Students,"SH: Youth & Students, MH: Cognition",Acceptable,Stanford University,USA,Fact-Check Master Doc,Reviewed,⭐⭐⭐⭐⭐
69,PARIMALA_2021_01,2021,SKY,Reduces anxiety and improves resilience in adults during stressful periods (pandemic context),Adults during COVID-19,956,,82% of practitioners showed no symptoms of anxiety|Practitioners showed overall better mental resilience and emotional well-being,Cross-Sectional Study,,"Parimala and Kanchibhotla, 2021",https://pubmed.ncbi.nlm.nih.gov/33251825/,Parimala-2021-Association Between Yogic Breath.pdf,Asia Pacific Journal of Public Health,General Population,"MH: Anxiety, MH: Happiness",Acceptable,SSIAR,India,"Fact-Check Master Doc, TC Explorer",Reviewed,
70,PARMAR_2014_01,2014,SKY,Improves breathing capacity in healthy adults,Healthy Adults,100,3 months,↑ 16% increased Peak Expiratory Flow Rate (PEFR),Non-Randomised Controlled Trial,,"Parmar et al., 2014",https://nicpd.ac.in/ojs-/index.php/njirm/article/view/824/710,Parmar-2014-Effect of Sudarshan Kriya (SDK) On.pdf,National Journal of Integrated Research in Medicine,General Population,"PH: Breath / Lungs, PH: Heart",Acceptable,"M.P. Shah Government Medical College, Jamnagar",India,"Fact-Check Master Doc, TC Explorer",Reviewed,
89,PATHAK_2024_01,2024,SKY,,Vaccinated Adults,222,11 weeks,↑ 3.5x increase in IgG antibody levels after SKY compared to 3.1x in standard care,Quasi-Experimental Study,,"Pathak et al., 2024",https://jptcp.com/index.php/jptcp/article/view/4494,Pathak-2024-Effect of Sudarshan Kriya on IgG 1.pdf,Journal of Population Therapeutics & Clinical Pharmacology,General Population,"PH: Biomarkers, PH: Immunity",Mixed Reputation,National Institute Of Medical Science And Research NIMS University Jaipur Rajasthan,India,"Fact-Check Master Doc, Year in Review.",Reviewed,
71,PATHANIA_2022_01,2022,SKY,Improves sleep quality and stress recovery in medical professionals (pandemic context),Medical Professionals during COVID-19 Pandemic,41,4 days,↑ 35% increase in deep sleep|↑ 29% increase in REM sleep|↑ 16% increase in total sleep duration|↑ 8% increase in light sleep|↓ 5% decrease in resting heart rate|↑ 14% increase in overall heart rate flexibility|↑ 16% boost in relaxation response,Single-Arm Pre-Post Study,,"Pathania et al., 2022",https://europepmc.org/article/med/36082887,Pathania-2022-Effect of 4-day Online Breath Me.pdf,Journal of the Association of Physicians of India,Professionals,"MH: Sleep, MH: Stress, PH: Heart",Acceptable,"AIIMS, Rishikesh",India,Fact-Check Master Doc,Reviewed,
72,PATIL_2017_01,2017,SKY,Reduces menopausal symptoms and improves emotional wellbeing in postmenopausal women,Postmenopausal Women,156,1+ years,↓ 86% fewer women reported severe hot flushes|↓ 97% fewer reported severe night sweats|↓ 94% fewer reported severe mood swings and fatigue|↓ 100% of practitioners reported zero severe anxiety or depression,Cross-Sectional Study,,"Patil et al., 2017",https://www.nepjol.info/index.php/AJMS/article/view/17723,Patil-2017-Study of effects of Sudarshan Kriya.pdf,Asian Journal of Medical Sciences,Women,SH: Women,Acceptable,"Government Medical College, Gondia, Maharashtra,",India,"Fact-Check Master Doc, TC Explorer",Reviewed,
73,QU_2013_01,2013,SKY,Triggers rapid immune-related gene expression changes in healthy adults,Healthy Adults,10,Single SKY Session,"↑ 3x more altered gene expression vs. other relaxation activities (111 vs. 38 genes)|Rapid distinct changes in the expression of genes linked to immune function, cell signalling, and cytoskeletal regulation",Controlled Crossover Study,,"Qu et al., 2013",https://pubmed.ncbi.nlm.nih.gov/28692417/,Qu-2013-Rapid gene expression changes in perip.pdf,PLoS One,General Population,"PH: Genes, PH: Immunity",Acceptable,University of Oslo,Norway,"Fact-Check Master Doc, TC Explorer",Reviewed,⭐⭐⭐⭐⭐
93,RAWAT_2011_01,2011,SKY,,Male Smokers,20,6 weeks,Significant reduction in smoking habit|Increased motivation to quit tobacco,Two-Arm Non-Randomised Pre-Post Study,,"Rawat et al., 2011",https://globalresearchonline.net/journalcontents/volume6issue2/Article-007.pdf,Rawat-2011-How Sudharshan Kriya helps to reduc.pdf,International Journal of Pharmaceutical Sciences,At-risk Communities,"PH: Breath / Lungs, SH: At-risk Communities",Mixed Reputation,"Tata Consultancy Services, Clinical Data Management, Noida, U.P, India.",India,"Fact-Check Master Doc, TC Explorer",Reviewed,
74,ROVNAGHI_2025_01,2025,SKY,Reduces stress and improves emotional wellbeing in seventh-grade students,Seventh-Graders,21,10 months,↓ 23% lowered cortisol at follow-up|↑ 18% higher oxytocin|Fewer poor mental health days,Single-Arm Pre-Post Study,10 months,"Rovnaghi et al., 2025",https://pubmed.ncbi.nlm.nih.gov/40125529/,Rovnaghi-2025-Using hair biomarkers to examine.pdf,Comprehensive Psychoneuroendocrinology,Youth & Students,"PH: Biomarkers, MH: Stress, SH: Youth & Students",Acceptable,Stanford University,USA,"Fact-Check Master Doc, TC Explorer",Reviewed,
75,SAATCIOGLU_2022_01,2022,SKY,Reduces stress and improves communication and performance in frontline health professionals,Frontline Health Professionals,803,3 days,↓ 94% reported reduced stress|↑ 92% felt communication improved|↑ 81% felt job performance improved|100% said they would recommend the programme to fellow health professionals,Observational Study,,"Saatcioglu et al., 2022",https://pubmed.ncbi.nlm.nih.gov/36162039/,Saatcioglu-2022-The Promise of Well-Being Inte.pdf,JCO Oncology Practice,Professionals,"MH: Stress, MH: Cognition",Acceptable,University of Oslo,Norway,"Fact-Check Master Doc, TC Explorer",Reviewed,
96,SAYYED_2010_01,2010,SKY,,Healthy Adults,55,8 days,↑ 9% increased Forced Vital Capacity (FVC)|↑ 6% increased Forced Expiratory Volume (FEV1)|↑ 22% increased Peak Expiratory Flow Rate (PEFR)|↑ 14% increased Maximum Voluntary Ventilation (MVV),Single-Arm Pre-Post Study,,"Sayyed et al., 2010",https://www.semanticscholar.org/paper/Study-of-lipid-profile-and-pulmonary-functions-in-Sayyed-Patil/055c0492780c212915432a648ca83a1d395e2fad,Sayyed-2010-Study of Lipid Profile and Pulmona.pdf,Al Ameen Journal of Medical Science,General Population,PH: Breath / Lungs,Predatory,Maharashtra Institute of Medical Education & Research,India,"Fact-Check Master Doc, TC Explorer",Reviewed,
76,SEPPALA_2014_01,2014,SKY,Reduces PTSD and anxiety symptoms in veterans with lasting effects,War Veterans with PTSD,21,1 week,↓ 29% reduction in PTSD symptoms (1 week)|↓ 22% reduction (1 month)|↓ 30% reduction (1 year)|↓ 18% reduction in anxiety (1 year),Randomised Controlled Trial,1 year,"Seppälä et al., 2014",https://pubmed.ncbi.nlm.nih.gov/25158633/,Seppala-2014-Breathing-based meditation decrea.pdf,Journal of Traumatic Stress,At-risk Communities,"MH: Stress, MH: Anxiety, SH: At-risk Communities",Acceptable,Stanford University,USA,"Fact-Check Master Doc, TC Explorer",Reviewed,
77,SEPPALA_2020_01,2020,SKY,Reduces stress and improves wellbeing in university students,University Students,131,8 weeks,"Reduced depression and stress|Improved mindfulness, positive feelings, and social connections|SKY could help reduce the need for counselling services, potentially easing the financial burden on universities",Randomised Controlled Trial,,"Seppälä et al., 2020",https://pubmed.ncbi.nlm.nih.gov/32760296/,Seppala-2020-Promoting Mental Health and Psych.pdf,Frontiers in Psychiatry,Youth & Students,"SH: Youth & Students, MH: Happiness",Acceptable,Yale University,USA,"Fact-Check Master Doc, TC Explorer",Reviewed,⭐⭐⭐⭐⭐
99,SESHADRI_2019_01,2019,SKY,,Women (General),410,Long-term practice,"↑ 75% improvement in general health|Significant improvements in physical, mental, and emotional well-being",Single-Arm Pre-Post Study,,"Seshadri et al., 2019",https://www.jscholaronline.org/articles/JWHG/Impact-of-a-Low-Cost.pdf,"Seshadri-2019-Impact of a Low Cost, Non-Pharma.pdf",Journal of Women’s Health and Gynecology,Women,SH: Women,Mixed Reputation,SSIAR,"India, UK","Fact-Check Master Doc, TC Explorer",Reviewed,
78,SHARMA_2003_01,2003,SKY,Improves antioxidant levels and reduces physical stress in police trainees,Police Trainees,24,5 months,↑ 4x higher glutathione|↑ 52% higher catalase|↓ 71% lower blood lactate|↑ 2.6x higher superoxide dismutase (SOD),Quasi-Experimental Study,,"Sharma et al., 2003",https://pubmed.ncbi.nlm.nih.gov/12853172/,Sharma-2003-Sudarshan Kriya practitioners exhi.pdf,Biological Psychology,Professionals,"PH: Biomarkers, MH: Stress",Acceptable,"AIIMS, New Delhi",India,"Fact-Check Master Doc, TC Explorer",Reviewed,
79,SHARMA_2008_01,2008,SKY,Enhances cell survival and resistance to oxidative stress in healthy adults,Healthy Adults,84,,↑ Increased activity of genes that support cell survival|↑ Increased lymphocyte longevity|↑ Increased protection against oxidative stress,Cross-Sectional Study,,"Sharma et al., 2008",https://pubmed.ncbi.nlm.nih.gov/18222135/,Sharma-2008-Gene expression profiling in pract.pdf,Journal of Psychosomatic Research,General Population,"PH: Cancer, PH: Genes",Acceptable,"AIIMS, New Delhi",India,"Fact-Check Master Doc, TC Explorer, FC-Worksheet.",Reviewed,
80,SHARMA_2017_01,2017,SKY,Reduces depression symptoms in treatment-resistant patients,Patients with Major Depressive Disorder (MDD),25,8 weeks,↓ 53% reduced depression symptoms/scores in patients who did not respond to antidepressants,Randomised Controlled Trial,,"Sharma et al., 2017",https://pubmed.ncbi.nlm.nih.gov/27898207/,Sharma-2017-A Breathing-Based Meditation Inter.pdf,Journal of Clinical Psychiatry,Patients,MH: Depression,Acceptable,"Perelman School of Medicine, UPenn",USA,"Fact-Check Master Doc, TC Explorer",Reviewed,
81,SHARMA_2019_01,2019,SKY,Improves brain function and cognitive processing in healthy adults,Healthy Adults,50,3 months,Improved brain function|Improved cognitive processing,Randomised Controlled Trial,,"Sharma et al., 2019",https://pubmed.ncbi.nlm.nih.gov/31181300/,Sharma-2019-EEG signal based classification be.pdf,Neuroscience Letters,General Population,"PH: Brain, MH: Cognition",Acceptable,"UIET, Panjab University, Chandigarh, India",India,"Fact-Check Master Doc, TC Explorer",Reviewed,
82,SHIJU_2019_01,2019,SKY,Reduces anxiety and depression while improving quality of life in type 2 diabetes patients,Type 2 Diabetes (T2D) Patients,26,5 days,↓ 43% reduced anxiety|↓ 33% reduced depression|↑ 12% improved quality of life,Single-Arm Pre-Post Study,,"Shiju et al., 2019",https://www.sciencedirect.com/science/article/abs/pii/S1871402119302449?via%3Dihub,Shiju-2019-Effect of Sudarshan Kriya Yoga on a.pdf,Diabetes & Metabolic Syndrome: Clinical Research and Reviews,Patients,"MH: Anxiety, MH: Depression, PH: Diabetes",Acceptable,"Dasman Diabetes Institute, Al-Soor Street, Kuwait, P.O. Box 1180, Dasman, 15462, Kuwait.",Kuwait,"Fact-Check Master Doc, TC Explorer",Reviewed,
83,SLOAN_2020_01,2020,SKY,Improves sleep quality with regular practice,Regular Practitioners,385,,77% of daily practitioners reported good sleep quality|Lower frequency of practice associated with higher odds of poor sleep quality,Cross-Sectional Study,,"Sloan and Kanchibhotla, 2020",https://link.springer.com/article/10.1007/s11325-020-02240-9,Sloan-2020-The association of Sudarshan Kriya.pdf,Sleep and Breathing,Practitioners / Meditators,MH: Sleep,Acceptable,Kagoshima University,Japan,"Fact-Check Master Doc, TC Explorer",Reviewed,
84,SLOAN_2021_01,2021,SKY,Supports healthier lifestyle habits in working adults,Working Adults,531,5 months,76% of daily practitioners had ≥4 healthy lifestyle habits vs. 41% in non-practitioners|42% of daily practitioners had ≥5 healthy habits vs. 17% in non-practitioners|Daily SKY practitioners were nearly twice as likely to lead a healthy lifestyle,Cross-Sectional Study,,"Sloan and Kanchibhotla, 2021",https://journals.sagepub.com/doi/abs/10.1089/acm.2021.0035?cf-mal-redirected=true&download=true&journalCode=acm,Sloan-2021-Association Between Sudarshan Kriya.pdf,The Journal of Alternative and Complementary Medicine,Professionals,"MH: Stress, MH: Happiness",Acceptable,Kagoshima University,Japan,"Fact-Check Master Doc, TC Explorer, FC-Worksheet",Reviewed,
85,SLOAN_2023_01,2023,SKY,Increases happiness in adults with regular practice,Adults in Singapore,733,,2-fold higher likelihood of being happier for daily SKY practitioners,Observational Study,,"Sloan and Kanchibhotla, 2023",https://pubmed.ncbi.nlm.nih.gov/34097652/,Sloan-2023-The Association of Sudarshan Kriya.pdf,Alternative Therapies in Health and Medicine,General Population,MH: Happiness,Acceptable,Kagoshima University,Japan,"Fact-Check Master Doc, TC Explorer",Reviewed,
108,SOMWANSHI_2013_01,2013,SKY,,Healthy Adults,30,12 weeks,Normalised blood pressure|Reduced resting heart rate|Boosted overall heart health,Single-Arm Pre-Post Study,,"Somwanshi et al., 2013",https://www.statperson.com/Journal/ScienceAndTechnology/Article/Volume8Issue1/8_1_17.pdf,Somwanshi-2013-Effect of Sudarshankriya Yoga o.pdf,International Journal of Recent Trends in Science And Technology,General Population,PH: Heart,Mixed Reputation,"MIMSR Medical College, Latur, Maharashtra, INDIA.",India,"Fact-Check Master Doc, TC Explorer",Reviewed,
86,SUBRAMANIAN_2012_01,2012,SKY,Reduces cholesterol and stress in engineering students,Engineering Students,43,6 weeks,↓ 13% decreased cholesterol|↓ 37% reduced VLDL|Lowered stress (protected against exam-related changes),Randomised Controlled Trial,,"Subramanian et al., 2012",https://journals.lww.com/ijoy/fulltext/2012/05010/role_of_sudarshan_kriya_and_pranayam_on_lipid.5.aspx,Subramanian-2012-Role of sudarshan kriya and p.pdf,International Journal of Yoga,Youth & Students,"PH: Biomarkers, MH: Stress, SH: Youth & Students",Acceptable,"Department of Medical Research, SRM Medical College Hospital and Research Centre,",India,"Fact-Check Master Doc, TC Explorer",Reviewed,
87,SUBRAMANIAN_2025_01,2025,SKY,Improves wellbeing and cognitive performance in adolescents,Adolescents,275,4 days,↑ 86% showed increased mental well-being|↑ 71% showed improved cognitive performance|↑ 95% demonstrated enhanced emotional well-being at day 40,Single-Arm Pre-Post Study,,"Subramanian et al., 2025",https://pubmed.ncbi.nlm.nih.gov/39829376/,Subramanian-2025-Effect of yogic breathing pra.pdf,Clinical Child Psychology and Psychiatry,Youth & Students,"SH: Youth & Students, MH: Happiness",Acceptable,SSIAR,India,Fact-Check Master Doc,Reviewed,
88,SULEKHA_2006_01,2006,SKY,Increases deep sleep duration in long-term male practitioners,Healthy Males,67,5+ years,↑ 3x increased deep sleep duration in middle-aged adult practitioners,Cross-Sectional Study,,"Sulekha et al., 2006",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1479-8425.2006.00233.x,Sulekha-2006-Evaluation of sleep architecture.pdf,Sleep and Biological Rhythms,Practitioners / Meditators,MH: Sleep,Acceptable,"NIMHANS, Bengaluru",India,"Fact-Check Master Doc, TC Explorer",Reviewed,
89,SUREKA_2014_01,2014,SKY,Reduces anxiety and improves wellbeing in male prisoners,Male Prisoners,230,6 weeks,↓ 50% reduction in anxiety symptoms|↑ 22% improvement in depression symptoms|↑ 36% improvement in total psychological well-being,Randomised Controlled Trial,,"Sureka et al., 2014",https://pubmed.ncbi.nlm.nih.gov/25440560/,Sureka-2014-Effect of Sudarshan Kriya on male.pdf,Asian Journal of Psychiatry,At-risk Communities,"MH: Anxiety, MH: Depression, SH: At-risk Communities",Acceptable,"Central Jail Hospital, Tihar, New Delhi",India,Fact-Check Master Doc,Reviewed,
90,SWAIN_2021_01,2021,SKY,Reduces menopausal symptoms and improves antioxidant levels in women,Menopausal Women (aged 40 - 50),65,1 year,"↓ 15% decreased hot flushes and night sweats|↓ 13% decreased psychosocial symptoms (anxiety, depression, memory)|↑ 72% increased antioxidant SOD|↑ 21% increased GPx",Randomised Controlled Trial,,"Swain et al., 2021",https://pubmed.ncbi.nlm.nih.gov/34254406/,Swain-2021-Impact of yoga intervention on meno.pdf,Journal of Obstetrics and Gynaecology Research,Women,SH: Women,Acceptable,"AIIMS, Bhubaneswar",India,"Fact-Check Master Doc, TC Explorer",Reviewed,
91,TOSCHI-DIAS_2017_01,2017,SKY,"Reduces anxiety, depression, and distress in affected patients",Anxiety-Depression Patients,46,15 days,↓ 33% reduced anxiety symptoms|↓ 31% reduced depression symptoms|↓ 57% lowered psychological distress|Improved sympathovagal balance,Non-Randomised Controlled Trial,,"Toschi-Dias et al., 2017",https://pubmed.ncbi.nlm.nih.gov/28285240/,Toschi-Dias-2017-Sudarshan Kriya Yoga improves.pdf,Journal of Affective Disorders,Patients,"MH: Anxiety, MH: Depression, PH: Vagus Nerve",Acceptable,"Ospedale Maggiore Policlinico, Via Francesco Sforza, 28, Milan, Italy.",Italy,"Fact-Check Master Doc, TC Explorer, FC-Worksheet",Reviewed,
92,TRIPATHI_2025_01,2025,SKY,"Induces a deeply restful, wakeful brain state in practitioners",Long-Term Practitioners,43,Single SKY Session,"Rhythmic breathing accentuates theta rhythms|Facilitates transition to ""restful awareness"" state (Turiya) unlike sleep",Two-Arm Non-Randomised Pre-Post Study,,"Tripathi et al., 2025",https://www.nature.com/articles/s44184-025-00156-4,Tripathi-2025-Unlocking deep relaxation_ the p.pdf,Nature Partner Journals — Mental Health Research,General Population,"PH: Brain, MH: Anxiety, MH: Depression",Acceptable,"Center for Brain Science & Department of Psychology, Harvard University, Cambridge, MA, USA",USA,"TC Explorer, Conversation History",Reviewed,⭐⭐⭐⭐⭐
93,UNUDURTHI_2023_01,2023,SKY,Reduces cravings and improves wellbeing in opioid users,Opioid Users,8,1 month,Reduced substance use cravings|Reduced depression symptoms|Improved physical functioning and emotional well-being,Quasi-Experimental Study,,"Unudurthi et al., 2023",https://pubmed.ncbi.nlm.nih.gov/36989479/,Unudurthi-2023-Sudarshan Kriya Meditation Redu.pdf,Journal of psychosocial nursing and mental health services,At-risk Communities,"SH: At-risk Communities, MH: Depression",Acceptable,"Masonic Medical Research Institute, Utica, New York (S.D.U.);",USA,Fact-Check Master Doc,Reviewed,
94,VANGALA_2000_01,2000,SKY,Greatly reduces depression and anxiety in patients with major depressive disorder,Patients with Major Depressive Disorder (MDD),30,4 weeks,↓ 66% reduced depression|↓ 74% reduced anxiety,Randomised Controlled Trial,,"Vangala et al., 2000",https://psycnet.apa.org/record/2002-12746-004,Rohini-2000-A comparative Study of fulll.pdf,NIMHANS Journal,Patients,"MH: Happiness, MH: Depression",Acceptable,"NIMHANS, Bengaluru",India,Fact-Check Master Doc,Reviewed,
95,VASUDEV_2020_01,2020,SKY,"Reduces PTSD, anxiety, and depression symptoms in affected patients",Patients with PTSD,19,24 weeks,↓ 29% reduced depression|↓ 27% reduced anxiety|↓ 36% reduced PTSD symptoms,Single-Arm Pre-Post Study,,"Vasudev et al., 2020",https://journals.lww.com/ijoy/fulltext/2020/13030/sudarshan_kriya_yoga_program_in_posttraumatic.11.aspx,Vasudev-2020-Sudarshan Kriya Yoga program in p.pdf,International Journal of Yoga,At-risk Communities,"MH: Anxiety, SH: At-risk Communities, MH: Stress",Acceptable,"Victoria Hospital, London, ON, N6A5W9, Canada.",Canada,Fact-Check Master Doc,Reviewed,
96,VEDAMURTHACHAR_2006_01,2006,SKY,Reduces stress and depression in alcohol-dependent individuals,Alcohol-Dependent Individuals,60,2 weeks,↓ 57% drop in cortisol|↓ 33% reduced ACTH|↓ 76% reduction in depression scores,Randomised Controlled Trial,,"Vedamurthachar et al., 2006",https://pubmed.ncbi.nlm.nih.gov/16740317/,Vedamurthachar-2006-Antidepressant efficacy an.pdf,Journal of Affective Disorders,Patients,"MH: Stress, MH: Depression, PH: Biomarkers",Acceptable,NIMHANS,India,"Fact-Check Master Doc, TC Explorer",Reviewed,
97,VERMA_2022_01,2022,SKY,Lowers blood sugar in type 2 diabetes patients,T2D Patients,84,7 days,↓ 24% reduced blood sugar,Single Arm Observational Study,,"Verma et al., 2022",https://pubmed.ncbi.nlm.nih.gov/36120271/,Verma-2022-An Observational Study on the Effec.pdf,Cureus,Patients,"PH: Diabetes, PH: Biomarkers",Acceptable,"Bharati Vidyapeeth Dental College and Hospital, Navi Mumbai, IND",India,"Fact-Check Master Doc, TC Explorer, FC-Worksheet",Reviewed,
98,WARNER_2012_01,2012,SKY,Improves emotional wellbeing and self-esteem in breast cancer patients,Breast Cancer Patients,12,5 weeks,↑ Increased emotional well-being and body image|↑ Increased self-esteem and empowerment|↑ Increased life appreciation and spiritual connection,Qualitative Study,,"Warner and Wall, 2012",https://www.novapublishers.com/wp-content/uploads/2019/12/978-1-62257-364-6_ch2.pdf,Warner-2012-Exploration of psychological and s.pdf,Psychology of Cancer,Patients,"PH: Cancer, SH: Women",Acceptable,Stanford Unversity,USA,"Fact-Check Master Doc, FC-Worksheet.",Reviewed,
99,YADAV_2021_01,2021,SKY,Reduces harmful drinking and supports recovery in alcohol-dependent men,Male Alcohol Dependent Patients,80,6 months,↓ 39% drop in harmful drinking behaviour|↑ 14% improvement in well-being symptoms (in 6 days)|23% of patients reported zero alcohol use at 6-month follow-up,Randomised Controlled Trial,,"Yadav et al., 2021",https://pubmed.ncbi.nlm.nih.gov/35017822/,Yadav-2021-Impact of breathing and relaxation.pdf,Industrial psychiatry journal,At-risk Communities,"SH: At-risk Communities, MH: Stress",Acceptable,"Department of Psychiatry, Armed Forces Medical College, Pune, Maharashtra, India.",India,Fact-Check Master Doc,Reviewed,
100,ARCHANA_2026_01,2026,"SKY, SSM",Integrative Breathwork (SKY + Meditation) Resets IBS symptoms with persistent practice,21-year-old with Irritable Bowel Syndrome,1,9 months,↑ ~80% formed stools (marked improvement in consistency)|↓ Reduced clinical anxiety and IBS-related symptoms,Single Case Study,,"Archana et al., 2026",https://pubmed.ncbi.nlm.nih.gov/41805561/,Archana_2026_IBSpaper.pdf,Advances in Mind-Body Medicine,Patients,"PH: Gut Health, MH: Anxiety",Acceptable,"Sri Ramachandra Institute of Higher Education and Research, Chennai",India,,Reviewed,
101,TOLSTOVA_2026_01,2026,SKY,"Reduces PTSD, anxiety, and depression symptoms while improving sleep and resilience in military trainees",Military personnel (assault troops) undergoing basic training,50,8 weeks,↓ 43 reduction in anxiety|↓ 41% reduction in depression|↓ 42% reduction in PTSD symptoms|↑ 78% increase in subjective calmness and inner balance|↑ 82% reported improved sleep quality,Two-Arm Pre-Post Study,,"Tolstova and Afanasieva, 2026",https://lawscience.com.ua/web/uploads/pdf/Scientific%20Journal%20of%20the%20National%20Academy%20of%20Internal%20Affairs_31_1_2026_94-103.pdf,Tolstova-2026-Influence of stress factors on t.pdf,Scientific Journal of the National Academy of Internal Affairs,At-risk Communities,"MH: Stress, MH: Anxiety, MH: Depression, MH: Sleep, SH: At-risk Communities",Acceptable,"Simon Kuznets Kharkiv National University of Economics, Kharkiv",Ukraine,,Reviewed,